Flag,FlagCountry,Name,Draft,Beam,Length,Type,Origin,Destination,EstimatedDayArrival,ShippingCompany
LT,Lituània,ARAMIS,3.79,11.39,86.9,Càrrega (Lo-Lo),Lyon,Fos-sur-Mer,3,TRANSITAINER SA
BS,Bahames,WIND STAR,4.11,15.8,134,Passatge,Tarragona,Palma de Mallorca,110,BALEARES CONSIGNATARIOS SL
BS,Bahames,WIND SURF,5.01,20,187,Passatge,Palamos,Palma de Mallorca,212,BALEARES CONSIGNATARIOS SL
MT,Malta,AZAMARA PURSUIT,5.95,25.46,181,Passatge,Marseille,Toulon,146,BALEARES CONSIGNATARIOS SL
MT,Malta,AZAMARA JOURNEY,5.95,25.46,181,Passatge,Monaco,Port-Vendres,211,BALEARES CONSIGNATARIOS SL
DK,Dinamarca,TORM CORRIDO,12.22,32.19,183,Tancs,Brindisi,Cartagena,9,IBERICA MARITIMA BARCELONA SA
LR,Libèria,ZUMRUT ANA,4.6,16.6,140,Tancs,Balchik,Rostov-na-Donu                     ,2,ALFASHIP MARITIME SERVICES SL 
MT,Malta,ATLANTIS AUGUSTA,6.29,16.8,105.5,Tancs,Monopoli,Monopoli,9,NEXT MARITIME SL
PA,Panamà,MRC HATICE ANA,6.58,15.8,107,Tancs,Oran,Cartagena,5,ALFASHIP MARITIME SERVICES SL 
LR,Libèria,UBC CHILE,7.8,22.5,132,Granelers,Immingham,Boston,5,COMA Y RIBAS SL
MH,Illes Marshall,SIRIUS HIGHWAY,10.23,38,199.96,Car-carrier,Davisville,Bremerhaven,4,BERGE MARITIMA SL
CY,Xipre,ANDROMEDA J,7.36,22.2,140,Portacontenidors,Koper,Taicang Pt,2,BERGE MARITIMA SL
CY,Xipre,NAPOLES,6.53,25.6,186,Transbordadors,Ibiza,Ibiza,3,BALEARIA EUROLINEAS MARITIMAS SA 
CY,Xipre,SICILIA,6.53,25.6,186.25,Transbordadors,Palma de Mallorca,Palma de Mallorca,3,BALEARIA EUROLINEAS MARITIMAS SA 
CY,Xipre,NAPOLES,6.53,25.6,186.25,Transbordadors,Ibiza,Ibiza,4,BALEARIA EUROLINEAS MARITIMAS SA 
CY,Xipre,NAPOLES,6.53,25.6,186,Transbordadors,Ibiza,Ibiza,5,BALEARIA EUROLINEAS MARITIMAS SA 
CY,Xipre,SICILIA,6.53,25.6,186.25,Transbordadors,Palma de Mallorca,Palma de Mallorca,5,BALEARIA EUROLINEAS MARITIMAS SA 
CY,Xipre,NAPOLES,6.53,25.6,186,Transbordadors,Ibiza,Ibiza,7,BALEARIA EUROLINEAS MARITIMAS SA 
CY,Xipre,SICILIA,6.53,25.6,186.25,Transbordadors,Palma de Mallorca,Palma de Mallorca,7,BALEARIA EUROLINEAS MARITIMAS SA 
CY,Xipre,NAPOLES,6.53,25.6,186,Transbordadors,Ibiza,Ibiza,8,BALEARIA EUROLINEAS MARITIMAS SA 
CY,Xipre,NAPOLES,6.53,25.6,186.25,Transbordadors,Ibiza,Ibiza,10,BALEARIA EUROLINEAS MARITIMAS SA 
CY,Xipre,NAPOLES,6.53,25.6,186,Transbordadors,Ibiza,Ibiza,11,BALEARIA EUROLINEAS MARITIMAS SA 
DZ,Algèria,DJANET,9.5,24.29,172,Portacontenidors,Marseille,Valencia,4,TRANSPORTES CONSIGNACION MARITIMAS SA
IT,Itàlia,JOLLY PALLADIO,11.5,37.5,240,Ro-Ro,Castellon de la Plana,Marseille,22,BERGE MARITIMA SL
TR,Turquia,AKHISAR,7.5,18.4,118.4,Portacontenidors,Alger (Algiers),Castellon de la Plana,10,BERGE MARITIMA SL
IT,Itàlia,LEALE,7.38,16.8,112.4,Tancs,Bastia,Port-la-Nouvelle,8,ALFASHIP MARITIME SERVICES SL 
MH,Illes Marshall,SIRIUS HIGHWAY,10.23,38,199.96,Car-carrier,Davisville,Bremerhaven,4,BERGE MARITIMA SL
MH,Illes Marshall,EMERALD ACE,9.73,32.26,200,Car-carrier,Singapore,Anvers,6,TRANSPORTES CONSIGNACION MARITIMAS SA
AG,Antigua i Barbuda,KRETA S,7.7,22.7,149,Portacontenidors,Marseille,Oran,1,CMA CGM IBERICA SAU
AG,Antigua i Barbuda,JSP BORA,8.51,23.25,148,Portacontenidors,Valencia,Skikda (ex Philippeville),3,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
CY,Xipre,MAREN,8.51,23.25,148,Portacontenidors,Tanger Med,Alger (Algiers),5,MARITIMA DEL MEDITERRANEO SA
FR,França,MARFRET GUYANE,9.36,27.2,170,Portacontenidors,Marseille,Tanger Med,26,CMA CGM IBERICA SAU
FR,França,CMA CGM KIMBERLEY,16,51,366,Portacontenidors,Valencia,Fos-sur-Mer,32,CMA CGM IBERICA SAU
FR,França,CMA CGM PATAGONIA,16,51,366,Portacontenidors,Valencia,Fos-sur-Mer,53,CMA CGM IBERICA SAU
HK,Hong Kong,OOCL FRANCE,15.53,48.2,366.47,Portacontenidors,Valencia,Fos-sur-Mer,5,ORIENT OVERSEAS CONTAINER LINE SPAIN SL
HK,Hong Kong,MAERSK KINGSTON,14.02,40,304,Portacontenidors,La Spezia,Valencia,6,MARITIMA DEL MEDITERRANEO SA
LR,Libèria,AVRA MITERAS,9.32,23.5,157,Portacontenidors,Alger (Algiers),Valencia,1,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC ALTAMIRA,14.52,48.2,299,Portacontenidors,Algeciras,Gioia Tauro,3,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,TENO,13.5,45.6,300,Portacontenidors,Las Palmas,Genoa,2,HAPAG LLOYD SPAIN SL
LR,Libèria,MSC DORINE,13.52,32.2,294.05,Portacontenidors,Valencia,Gebze,4,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC CAPUCINE R,11.5,32.2,243,Portacontenidors,Malaga,Gioia Tauro,4,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC SIGMA F,8.51,23.25,148,Portacontenidors,Fos-sur-Mer,Alger (Algiers),5,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,GENOVA,13.52,32.26,294,Portacontenidors,Fos-sur-Mer,Valencia,5,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,CONTSHIP MAX,8.8,22.6,139,Portacontenidors,Annaba (ex Bone),Fos-sur-Mer,6,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LT,Lituània,KANTATA,8.51,23.25,147.84,Portacontenidors,Valencia,Oran,5,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MH,Illes Marshall,MORAGA,9.2,25.6,158.75,Portacontenidors,Marseille,Alger (Algiers),3,CMA CGM IBERICA SAU
MH,Illes Marshall,OLIVIA I,14.55,42.8,271,Portacontenidors,Genoa,Valencia,5,CMA CGM IBERICA SAU
MH,Illes Marshall,MARY,14.5,42.8,270,Portacontenidors,Genoa,Valencia,19,CMA CGM IBERICA SAU
MH,Illes Marshall,SEAMAX DARIEN,15.03,42.8,322.97,Portacontenidors,Algeciras,Gioia Tauro,21,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MT,Malta,CMA CGM TENERE,16,51,366,Portacontenidors,Fos-sur-Mer,Marsaxlokk,20,CMA CGM IBERICA SAU
