"","Flag","FlagCountry","Beam","Draft","Length","Type","Name"
"1","LT","Lituània",11.39,3.79,86.9,"Càrrega (Lo-Lo)","ARAMIS"
"2","BS","Bahames",15.8,4.11,134,"Passatge","WIND STAR"
"3","BS","Bahames",20,5.01,187,"Passatge","WIND SURF"
"4","MT","Malta",25.46,5.95,181,"Passatge","AZAMARA PURSUIT"
"5","MT","Malta",25.46,5.95,181,"Passatge","AZAMARA JOURNEY"
"6","DK","Dinamarca",32.19,12.22,183,"Tancs","TORM CORRIDO"
"7","LR","Libèria",16.6,4.6,140,"Tancs","ZUMRUT ANA"
"8","MT","Malta",16.8,6.29,105.5,"Tancs","ATLANTIS AUGUSTA"
"9","PA","Panamà",15.8,6.58,107,"Tancs","MRC HATICE ANA"
"10","LR","Libèria",22.5,7.8,132,"Granelers","UBC CHILE"
"11","MH","Illes Marshall",38,10.23,199.96,"Car-carrier","SIRIUS HIGHWAY"
"12","CY","Xipre",22.2,7.36,140,"Portacontenidors","ANDROMEDA J"
"13","CY","Xipre",25.6,6.53,186,"Transbordadors","NAPOLES"
"14","CY","Xipre",25.6,6.53,186.25,"Transbordadors","SICILIA"
"15","CY","Xipre",25.6,6.53,186.25,"Transbordadors","NAPOLES"
"16","DZ","Algèria",24.29,9.5,172,"Portacontenidors","DJANET"
"17","IT","Itàlia",37.5,11.5,240,"Ro-Ro","JOLLY PALLADIO"
"18","TR","Turquia",18.4,7.5,118.4,"Portacontenidors","AKHISAR"
"19","IT","Itàlia",16.8,7.38,112.4,"Tancs","LEALE"
"20","MH","Illes Marshall",32.26,9.73,200,"Car-carrier","EMERALD ACE"
"21","AG","Antigua i Barbuda",22.7,7.7,149,"Portacontenidors","KRETA S"
"22","AG","Antigua i Barbuda",23.25,8.51,148,"Portacontenidors","JSP BORA"
"23","CY","Xipre",23.25,8.51,148,"Portacontenidors","MAREN"
"24","FR","França",27.2,9.36,170,"Portacontenidors","MARFRET GUYANE"
"25","FR","França",51,16,366,"Portacontenidors","CMA CGM KIMBERLEY"
"26","FR","França",51,16,366,"Portacontenidors","CMA CGM PATAGONIA"
"27","HK","Hong Kong",48.2,15.53,366.47,"Portacontenidors","OOCL FRANCE"
"28","HK","Hong Kong",40,14.02,304,"Portacontenidors","MAERSK KINGSTON"
"29","LR","Libèria",23.5,9.32,157,"Portacontenidors","AVRA MITERAS"
"30","LR","Libèria",48.2,14.52,299,"Portacontenidors","MSC ALTAMIRA"
"31","LR","Libèria",45.6,13.5,300,"Portacontenidors","TENO"
"32","LR","Libèria",32.2,13.52,294.05,"Portacontenidors","MSC DORINE"
"33","LR","Libèria",32.2,11.5,243,"Portacontenidors","MSC CAPUCINE R"
"34","LR","Libèria",23.25,8.51,148,"Portacontenidors","MSC SIGMA F"
"35","LR","Libèria",32.26,13.52,294,"Portacontenidors","GENOVA"
"36","LR","Libèria",22.6,8.8,139,"Portacontenidors","CONTSHIP MAX"
"37","LT","Lituània",23.25,8.51,147.84,"Portacontenidors","KANTATA"
"38","MH","Illes Marshall",25.6,9.2,158.75,"Portacontenidors","MORAGA"
"39","MH","Illes Marshall",42.8,14.55,271,"Portacontenidors","OLIVIA I"
"40","MH","Illes Marshall",42.8,14.5,270,"Portacontenidors","MARY"
"41","MH","Illes Marshall",42.8,15.03,322.97,"Portacontenidors","SEAMAX DARIEN"
"42","MT","Malta",51,16,366,"Portacontenidors","CMA CGM TENERE"
"43","MT","Malta",51,16,366,"Portacontenidors","CMA CGM UNITY"
"44","MT","Malta",51,16,366,"Portacontenidors","CMA CGM IGUACU"
"45","PA","Panamà",61.51,16.5,400,"Portacontenidors","MSC GULSUN"
"46","PT","Portugal",23.9,9.19,139,"Portacontenidors","JONA SOPHIE"
"47","PT","Portugal",20.6,6.99,153,"Ro-Ro","PAULINE RUSS"
"48","PT","Portugal",27.6,10.7,179.69,"Portacontenidors","MACAO"
"49","PT","Portugal",22.5,8.71,134.44,"Portacontenidors","WEC MONDRIAAN"
"50","PT","Portugal",48.2,14.5,299.82,"Portacontenidors","MSC DOMITILLE"
"51","PT","Portugal",22.6,8.8,139,"Portacontenidors","ANNE"
"52","PT","Portugal",23.9,9.19,139,"Portacontenidors","BARBARA P"
"53","PT","Portugal",48.2,14.5,300,"Portacontenidors","MSC BRUNELLA"
"54","IT","Itàlia",19,8.22,118,"Tancs","DOMENICO IEVOLI"
"55","MH","Illes Marshall",32.2,13.31,183,"Tancs","CL ZHAOGE"
"56","BM","Bermuda",32.25,13.63,294,"Portacontenidors","KOBE EXPRESS"
"57","DE","Alemanya",42.8,14.5,321,"Portacontenidors","BERLIN EXPRESS"
"58","DK","Dinamarca",29.8,11.4,211,"Portacontenidors","MAERSK NEWPORT"
"59","GB","Regne Unit",51,16,366,"Portacontenidors","ZEAL LUMOS"
"60","HK","Hong Kong",29.8,11.4,211,"Portacontenidors","SAFMARINE NILE"
"61","HK","Hong Kong",32.2,13.65,294.13,"Portacontenidors","ALTAMIRA EXPRESS"
"62","LR","Libèria",27.6,11.35,189,"Portacontenidors","AS ANITA"
"63","LR","Libèria",32.24,12.6,260.01,"Portacontenidors","ZIM SHEKOU"
"64","LR","Libèria",30,12,222.14,"Portacontenidors","ODYSSEUS"
"65","MH","Illes Marshall",51,15.52,369,"Portacontenidors","LINAH"
"66","MH","Illes Marshall",25.6,9.2,159,"Portacontenidors","RACHEL BORCHARD"
"67","MH","Illes Marshall",51,15.52,369,"Portacontenidors","AL MURABBA"
"68","MH","Illes Marshall",42.8,14.5,300.07,"Portacontenidors","BALTIC BRIDGE"
"69","MT","Malta",29.8,11.55,200,"Portacontenidors","CINZIA A"
"70","MT","Malta",28.1,9.5,170,"Portacontenidors","JOSITA B"
